frame_length,rssi,packet_rate,duration,src_mac_freq,dst_mac_freq,deauth_count,label
46,-34.1,456.8,0,84,84,177,1
40,-70.2,61.3,154,5,8,0,0
796,-85.7,290.9,100,49,6,20,0
467,-60.2,25.6,95,11,5,3,0
43,-36.9,624.3,8,48,98,210,1
931,-61.7,65.7,117,10,7,0,0
50,-51.3,115.9,5,96,38,36,1
669,-59.0,96.2,182,4,6,3,0
542,-41.3,158.9,99,4,3,0,0
643,-49.1,12.0,188,6,6,0,0
352,-62.2,158.8,118,47,5,16,0
813,-64.9,387.8,37,80,9,18,1
30,-51.4,330.0,25,73,10,231,1
214,-72.2,71.6,133,10,9,2,0
34,-49.3,539.7,3,108,151,168,1
754,-70.4,37.7,104,3,5,0,0
40,-70.5,33.4,152,6,1,0,0
182,-79.2,72.6,44,7,7,0,0
48,-39.4,381.7,0,70,111,99,1
25,-50.7,443.8,6,29,27,127,1
70,-49.1,87.7,144,5,8,1,0
36,-45.0,478.0,17,130,10,135,1
825,-58.1,296.3,89,47,4,32,0
35,-53.0,440.3,0,81,71,85,1
439,-67.7,72.5,91,4,7,2,0
28,-57.1,432.4,12,91,52,142,1
26,-47.6,641.2,10,85,43,57,1
243,-56.9,62.7,57,8,12,0,0
42,-41.2,188.5,21,68,73,46,1
33,-42.5,350.0,0,75,54,111,1
112,-73.0,338.3,257,35,7,13,0
1011,-63.1,107.4,125,8,5,4,0
271,-66.5,176.9,83,37,5,13,0
102,-79.5,162.3,134,5,4,0,0
32,-47.8,417.8,6,61,21,123,1
48,-37.1,296.9,4,46,34,109,1
582,-62.2,219.0,225,3,8,1,0
77,-60.8,192.2,0,110,52,12,1
264,-51.8,20.2,107,6,6,1,0
36,-40.5,268.9,5,113,39,41,0
762,-49.7,92.9,190,2,6,1,0
382,-40.9,53.4,1,10,9,1,0
408,-63.8,49.5,246,6,8,0,0
424,-83.3,94.9,236,5,8,0,0
666,-90.6,311.6,200,26,4,4,0
704,-69.2,99.2,41,5,5,2,0
48,-65.5,370.5,8,68,77,20,1
574,-53.2,54.4,118,6,3,1,0
509,-76.1,179.1,102,64,5,18,0
197,-65.4,39.6,197,3,6,1,0
40,-45.1,567.2,5,40,89,64,1
100,-46.6,133.6,20,161,49,11,1
48,-39.8,383.3,11,217,23,167,1
82,-58.8,118.3,115,6,12,0,0
967,-61.6,46.0,238,3,4,1,0
50,-31.4,438.5,12,102,114,111,1
33,-31.1,217.5,8,148,108,141,1
117,-49.0,141.8,0,89,80,26,1
468,-48.0,431.2,108,62,6,21,0
499,-49.1,164.7,87,44,3,16,0
1019,-77.4,187.4,162,2,2,0,0
41,-53.5,440.9,12,153,21,123,1
265,-72.6,347.7,163,53,6,17,0
1072,-82.7,59.4,139,5,7,1,0
60,-46.7,65.3,11,83,43,27,1
175,-43.1,79.2,119,3,7,1,0
527,-53.1,227.0,79,26,8,15,0
304,-42.1,92.0,121,2,8,2,0
518,-55.9,329.5,109,23,6,18,0
57,-64.7,110.4,3,61,93,18,1
531,-76.2,50.1,102,8,4,2,0
24,-58.7,406.3,16,154,56,97,1
334,-42.7,109.8,111,4,9,1,1
516,-72.2,111.9,190,3,11,1,0
26,-39.8,294.5,4,105,101,151,1
1056,-80.4,64.6,85,6,9,1,0
457,-53.8,38.3,66,9,5,2,0
112,-68.5,72.5,106,4,3,3,0
36,-25.2,372.4,5,67,90,114,1
795,-61.1,7.4,49,8,6,3,0
553,-46.6,251.5,52,2,3,0,0
502,-71.5,116.7,30,3,4,0,0
424,-59.3,24.9,63,3,5,3,0
358,-58.8,221.0,163,70,2,32,0
316,-67.2,293.6,128,26,5,10,0
38,-36.6,406.9,21,115,46,84,1
53,-74.8,308.3,216,61,7,29,0
358,-56.3,48.6,137,4,7,2,0
33,-38.9,486.2,9,29,94,78,1
666,-62.4,63.6,134,6,4,2,0
108,-41.4,144.6,14,84,78,25,1
825,-56.6,79.4,45,5,5,2,0
52,-55.2,278.5,3,89,38,96,1
669,-46.1,395.8,126,61,8,26,0
1033,-60.4,118.6,45,2,8,0,0
29,-39.7,490.2,13,34,10,148,1
31,-56.1,216.0,3,113,33,51,1
24,-51.5,552.9,27,156,67,116,1
1539,-65.9,197.7,0,4,3,1,0
38,-46.6,633.5,19,174,131,33,1
69,-48.8,149.2,0,135,187,25,1
54,-57.1,344.5,16,46,84,59,1
36,-59.9,223.1,31,72,54,8,1
440,-42.6,158.0,156,6,5,1,0
24,-34.8,327.6,2,97,10,157,1
45,-40.1,299.8,13,154,112,136,1
24,-55.9,168.9,2,95,28,25,1
40,-56.4,125.4,0,3,5,1,0
31,-55.7,408.5,5,71,97,63,1
954,-72.0,139.7,124,4,6,1,0
32,-49.8,274.3,0,101,46,80,1
52,-61.5,589.7,18,85,10,148,1
85,-53.0,195.1,190,5,12,1,0
293,-55.5,59.9,85,12,7,1,0
519,-71.4,32.1,147,7,13,0,0
890,-44.3,10.5,60,5,7,0,0
905,-51.7,50.1,144,3,9,3,0
30,-25.0,453.7,0,138,99,105,1
626,-69.3,101.6,53,12,8,0,0
544,-62.6,238.7,0,63,2,7,0
128,-46.8,32.9,178,5,6,0,0
958,-66.8,44.2,71,8,2,0,0
28,-56.3,675.4,0,70,42,196,1
55,-56.7,131.6,0,93,138,24,1
37,-61.9,408.4,11,15,61,108,1
40,-75.5,20.5,34,10,7,1,0
675,-72.6,109.6,41,10,9,0,0
294,-66.2,91.2,44,6,11,1,0
40,-73.4,39.5,163,7,6,1,0
565,-72.1,60.4,115,6,4,2,0
26,-44.3,611.7,12,104,23,120,1
812,-51.3,14.9,46,7,10,1,0
327,-64.6,160.5,122,83,3,19,0
1020,-62.1,44.4,192,5,6,2,0
40,-55.2,391.0,15,82,137,166,1
376,-66.4,52.6,132,8,5,1,0
45,-58.7,360.4,0,63,20,138,1
43,-50.8,291.5,5,76,104,235,1
507,-84.4,12.5,126,7,3,1,0
45,-51.0,439.1,11,138,43,109,1
1007,-67.6,37.1,23,7,2,2,0
24,-54.6,321.2,0,133,25,125,1
554,-66.5,61.0,91,6,3,0,0
164,-49.5,158.2,87,45,5,17,0
605,-86.3,121.0,96,5,7,1,0
24,-42.4,203.5,8,80,29,94,1
24,-55.6,422.7,0,123,22,88,1
1054,-72.7,31.4,161,6,3,0,0
389,-54.6,11.6,148,5,6,2,0
488,-67.4,30.9,48,6,5,0,0
125,-37.9,185.3,7,120,122,30,1
430,-65.0,7.4,111,4,3,1,0
374,-65.6,52.5,219,6,7,1,0
242,-72.5,31.6,42,6,5,0,0
301,-64.0,57.0,60,4,2,0,0
47,-48.7,417.4,0,104,18,112,1
60,-29.2,521.1,0,124,105,201,1
41,-57.6,473.6,10,76,57,189,1
40,-61.2,67.1,148,6,12,2,0
40,-59.0,25.7,40,3,3,1,0
35,-61.0,346.0,0,63,104,91,1
272,-67.5,66.0,184,9,8,0,0
40,-40.7,377.7,16,108,91,107,1
40,-84.2,135.2,15,7,5,3,0
32,-46.1,281.0,0,154,113,94,1
683,-38.4,78.6,130,7,2,3,0
43,-45.8,453.9,9,78,49,94,1
37,-56.2,366.4,6,135,74,134,1
43,-52.7,169.3,12,111,81,118,1
58,-48.4,169.4,7,95,78,30,1
970,-71.8,91.5,276,5,5,0,0
1058,-61.0,70.0,122,4,6,1,0
817,-64.5,264.5,132,55,5,13,0
283,-48.6,113.8,192,5,6,0,0
430,-67.1,132.3,123,1,5,0,0
45,-56.7,409.7,18,109,16,128,1
53,-35.7,60.0,10,65,81,105,1
838,-65.2,86.9,56,5,10,1,0
129,-48.0,231.7,0,98,28,30,1
30,-59.7,426.8,15,54,48,28,1
122,-47.1,149.6,12,39,89,31,1
34,-48.1,61.8,0,85,87,115,1
400,-76.1,110.2,158,8,8,2,0
49,-55.4,267.9,13,21,45,149,1
51,-41.7,247.2,2,15,10,48,1
517,-95.0,41.9,89,4,6,3,0
29,-48.8,292.0,9,118,53,103,1
656,-73.0,41.6,47,10,4,0,0
806,-45.0,45.0,118,10,4,3,0
40,-51.1,38.8,151,6,9,0,0
26,-55.4,401.9,25,117,18,74,1
24,-51.7,130.1,10,84,112,98,1
317,-75.6,83.2,29,6,6,1,0
63,-69.9,91.0,109,9,4,1,0
78,-44.6,40.0,8,35,86,18,1
39,-32.4,523.3,2,87,36,75,1
106,-51.3,183.4,3,82,60,16,1
41,-39.4,608.4,9,58,70,115,1
309,-56.9,43.2,144,6,6,0,0
41,-38.4,190.6,9,168,70,155,1
506,-33.9,38.1,77,8,5,1,0
54,-48.3,313.2,19,104,37,173,1
34,-75.8,310.3,0,114,81,89,1
653,-51.9,69.4,163,3,8,1,0
50,-41.5,344.6,6,216,62,63,1
682,-85.9,98.6,75,4,7,2,0
40,-52.2,13.5,179,7,5,2,0
24,-63.2,167.3,9,139,124,29,1
35,-50.5,526.7,13,32,31,48,1
46,-50.4,276.1,17,137,115,36,1
866,-55.1,53.4,117,8,1,2,0
27,-43.9,342.4,0,90,66,109,1
26,-38.2,409.1,0,119,144,39,1
212,-47.0,59.5,43,6,7,0,0
348,-95.0,29.3,79,5,3,1,0
470,-49.8,24.7,191,6,5,2,0
40,-51.2,146.3,111,5,5,1,0
357,-60.3,34.2,153,10,8,0,0
64,-25.0,134.9,4,113,78,23,1
643,-67.9,235.4,26,8,6,0,0
416,-68.9,59.8,36,4,6,1,0
65,-62.4,182.4,6,112,124,155,1
137,-60.9,185.2,6,170,43,26,1
346,-64.1,119.4,154,11,10,1,0
479,-43.5,23.0,135,10,4,3,0
31,-64.3,287.9,7,117,27,150,1
421,-95.0,82.6,105,6,4,2,0
24,-50.1,230.2,1,113,17,31,1
43,-37.2,174.6,20,149,10,20,1
693,-64.2,42.7,62,7,5,0,0
742,-62.4,85.4,217,4,8,1,0
48,-49.2,509.0,0,158,65,161,1
157,-59.9,265.5,6,76,52,15,1
28,-25.0,60.0,18,116,84,44,1
45,-54.1,146.1,8,123,62,30,1
640,-70.2,351.6,94,24,9,4,0
614,-69.0,44.0,56,4,5,0,0
40,-46.8,125.7,65,58,2,14,0
65,-47.0,130.2,10,107,10,14,1
851,-49.5,4.3,117,11,8,0,0
40,-76.2,90.0,25,11,4,1,0
353,-53.2,155.0,50,8,2,2,0
42,-41.7,361.6,0,42,78,8,1
871,-64.6,53.4,31,6,7,3,0
564,-69.6,201.5,110,5,8,3,0
826,-74.0,215.0,181,62,4,19,0
1222,-41.3,236.3,57,10,9,0,0
45,-57.6,286.7,0,107,92,27,0
983,-76.9,21.8,30,1,2,0,0
48,-49.0,593.4,9,116,94,51,1
24,-57.5,518.0,18,192,119,59,1
46,-39.4,408.4,26,98,38,132,1
452,-30.8,71.8,114,6,10,1,0
40,-54.0,115.5,76,4,4,0,0
289,-66.3,53.6,180,5,7,1,0
57,-45.8,40.0,7,160,111,32,1
792,-62.0,245.8,105,23,8,20,0
521,-59.8,11.7,112,7,4,0,0
355,-51.9,67.1,0,9,7,1,0
90,-42.9,165.6,10,85,51,21,1
76,-40.9,114.3,11,150,21,20,1
851,-62.6,120.5,61,6,7,1,0
478,-37.0,34.5,152,7,4,2,0
91,-64.5,32.9,105,6,7,3,0
42,-56.4,235.0,7,157,116,231,1
24,-61.9,210.6,18,74,98,49,1
40,-76.5,70.0,156,7,5,0,0
461,-75.3,13.0,160,6,11,1,0
623,-63.3,30.1,164,6,6,2,0
24,-56.0,536.3,9,44,98,8,1
30,-44.7,498.5,0,160,134,87,1
473,-67.0,136.1,140,5,8,2,0
175,-61.1,114.5,51,13,7,0,0
1368,-63.1,25.5,173,3,6,1,0
24,-46.2,478.3,6,107,115,96,1
54,-47.0,278.8,4,37,25,85,1
510,-44.3,145.3,56,5,5,2,0
829,-64.1,40.4,175,3,8,1,0
522,-66.2,221.7,173,4,3,1,0
589,-74.1,86.7,230,2,3,1,0
603,-59.4,325.1,141,4,6,1,0
182,-57.3,175.7,152,8,6,0,0
40,-44.5,131.9,86,5,3,1,0
679,-73.3,314.7,21,8,7,1,0
685,-47.3,55.3,270,7,8,1,0
52,-45.1,121.5,12,67,31,16,1
46,-34.9,264.8,12,102,154,149,1
24,-56.1,382.8,15,89,67,8,1
514,-63.9,9.0,217,5,3,1,0
558,-50.7,90.6,182,6,5,1,0
1166,-74.5,10.5,128,9,6,0,0
27,-46.4,316.7,8,152,39,124,1
519,-55.6,20.0,126,5,5,1,0
175,-85.2,170.5,142,8,6,0,0
30,-36.3,418.5,11,98,55,111,1
459,-63.6,136.6,13,6,6,0,0
876,-70.9,19.4,206,4,5,2,0
29,-38.6,244.4,0,137,10,53,1
41,-38.7,334.3,11,30,66,246,1
36,-44.8,390.6,7,47,43,99,0
331,-70.4,25.3,113,11,4,2,0
360,-56.7,54.5,216,8,5,0,0
31,-48.5,347.8,9,91,25,17,1
36,-62.2,359.6,0,101,55,152,1
566,-57.9,243.4,103,4,1,1,0
762,-68.7,122.9,169,2,5,1,0
861,-67.0,62.6,118,9,5,1,0
47,-55.6,282.2,10,60,81,63,1
37,-42.7,431.2,21,129,41,141,1
37,-42.2,443.5,7,124,101,281,1
44,-38.4,474.0,14,15,10,188,1
984,-45.7,238.2,54,74,6,25,0
24,-52.2,333.5,13,155,10,29,1
33,-39.2,502.8,16,158,69,95,1
135,-79.8,307.1,35,12,4,21,0
40,-81.0,43.4,97,6,3,0,0
240,-75.1,64.5,223,6,5,1,0
720,-72.5,40.1,113,6,8,1,0
45,-59.2,379.2,17,27,80,186,1
40,-55.8,127.9,70,4,5,4,0
51,-39.0,406.7,15,119,106,120,1
376,-54.1,69.2,52,5,5,2,0
40,-45.2,70.1,107,9,9,0,0
764,-65.1,41.9,63,5,8,1,0
663,-80.2,131.2,192,2,3,2,0
157,-40.1,95.9,1,15,10,33,1
28,-49.0,434.6,22,80,43,87,1
40,-68.1,104.2,155,10,7,1,0
72,-83.4,85.4,159,7,5,1,0
40,-74.8,87.0,110,4,3,1,0
354,-63.8,65.7,176,6,9,0,0
300,-77.6,69.4,120,6,9,1,0
456,-79.8,57.3,53,7,9,0,0
651,-63.0,46.4,75,6,10,0,0
706,-66.8,132.9,119,3,11,3,0
24,-53.4,434.9,1,119,92,89,1
87,-50.4,49.6,236,8,10,1,1
24,-42.2,422.7,0,78,53,68,1
795,-68.2,88.1,180,6,7,1,0
962,-71.2,67.4,63,8,4,0,0
881,-70.3,164.3,70,5,5,1,0
24,-58.0,410.3,15,126,10,215,1
408,-76.0,111.5,111,9,5,3,0
375,-35.3,36.0,0,7,4,1,0
30,-61.1,457.7,13,123,74,138,1
30,-46.6,464.6,18,152,83,185,1
1296,-71.0,35.9,10,6,4,1,0
24,-51.9,217.5,5,64,55,100,1
24,-33.2,255.1,14,50,88,112,1
40,-37.7,190.2,18,28,78,139,1
34,-38.3,528.1,11,116,10,145,1
621,-76.4,276.6,71,10,8,13,0
707,-47.3,224.0,71,4,9,0,0
717,-39.6,76.5,39,5,6,1,0
707,-59.4,97.2,117,6,7,1,0
319,-57.4,107.2,104,5,9,0,0
339,-76.1,124.8,232,10,3,0,0
49,-53.0,368.1,0,112,120,121,1
515,-70.2,40.7,114,7,4,1,0
222,-50.1,41.2,162,13,5,2,0
105,-49.5,168.3,11,15,71,18,1
24,-57.9,339.6,9,71,43,94,1
879,-59.9,95.3,120,5,5,3,0
117,-46.0,52.6,1,30,66,16,1
68,-74.4,42.1,0,2,4,4,0
840,-54.1,339.1,198,51,2,12,0
1125,-75.1,53.3,13,4,8,4,0
437,-73.0,57.9,151,5,4,1,0
634,-75.1,87.5,100,10,7,1,0
27,-46.9,218.8,7,183,75,54,1
1048,-47.9,46.3,148,7,12,1,0
680,-71.2,76.8,94,6,8,1,0
434,-69.1,53.2,122,5,8,0,0
718,-41.7,316.9,71,33,6,29,0
342,-63.5,120.9,80,7,6,2,0
36,-57.6,308.8,10,104,105,75,1
97,-54.4,217.2,8,166,52,40,1
37,-54.2,580.6,10,78,71,82,1
238,-86.0,176.1,212,50,4,10,0
767,-47.8,406.8,150,81,9,20,0
31,-36.8,652.7,4,172,10,193,1
447,-62.1,86.2,280,3,6,1,0
525,-56.7,36.9,171,6,7,2,0
42,-38.3,309.5,0,102,60,125,1
24,-49.8,195.5,8,93,10,7,1
31,-44.8,296.6,0,76,10,72,1
37,-58.0,828.3,16,81,98,115,1
30,-53.9,423.4,8,141,33,152,1
250,-57.5,116.9,201,4,5,2,0
475,-51.6,56.7,59,10,4,3,0
108,-43.7,142.0,12,81,10,6,1
34,-46.4,260.4,14,71,46,143,1
175,-62.3,70.2,45,2,7,2,0
932,-34.0,148.0,301,5,3,4,0
40,-79.3,86.3,120,2,8,0,0
908,-49.0,331.0,107,40,4,10,0
48,-55.3,394.0,6,35,32,136,1
43,-42.7,603.1,0,75,151,97,1
37,-42.4,358.0,8,77,10,136,1
282,-53.3,186.3,115,7,2,5,0
272,-47.4,278.5,110,3,5,3,0
440,-58.0,59.8,281,10,8,2,0
897,-82.2,127.5,65,3,6,1,0
47,-37.0,345.1,15,166,112,88,1
87,-37.5,192.3,3,106,89,10,1
40,-80.6,55.9,98,5,10,3,0
367,-47.0,56.0,96,8,5,3,0
73,-68.2,34.5,166,7,9,2,0
284,-74.7,91.9,147,11,6,1,0
869,-69.3,90.7,38,3,10,4,0
666,-68.1,24.6,211,11,3,2,0
34,-43.3,456.6,8,155,10,105,1
1034,-43.3,408.6,169,76,3,20,0
40,-61.4,137.8,54,3,7,0,0
641,-46.7,45.7,192,3,6,4,0
29,-53.5,280.0,0,105,113,18,1
601,-76.1,26.7,123,5,7,1,0
68,-65.3,174.0,9,115,143,33,1
326,-67.8,199.5,206,52,6,35,0
24,-52.7,182.6,7,41,32,149,1
38,-56.3,394.8,9,83,121,159,1
104,-57.0,262.2,76,51,4,14,0
40,-60.8,7.7,252,2,6,0,0
24,-51.2,252.4,8,50,63,137,1
46,-34.2,446.4,9,38,36,105,1
63,-46.6,169.4,153,9,3,3,0
25,-44.9,406.8,18,154,10,144,1
554,-67.5,42.6,182,3,3,0,0
24,-52.7,472.4,6,159,108,156,1
117,-62.3,180.6,19,183,74,22,1
532,-78.0,46.0,136,6,2,2,0
45,-39.3,394.7,0,49,148,126,0
83,-48.5,195.4,10,114,79,26,1
409,-77.6,141.7,114,46,6,28,0
548,-54.2,8.0,243,6,6,0,0
28,-53.4,572.9,9,32,133,181,1
422,-55.8,226.6,153,58,7,12,0
651,-68.3,33.3,31,4,4,2,0
33,-66.2,343.2,22,86,68,68,1
58,-64.0,409.9,20,118,45,66,1
307,-66.7,80.9,97,5,9,3,0
38,-43.7,496.7,5,109,32,170,1
51,-47.1,369.3,1,112,124,8,1
40,-53.3,125.6,43,5,7,1,0
41,-60.5,165.6,7,90,114,42,1
99,-43.0,140.9,19,126,18,28,1
40,-55.3,93.6,186,9,7,2,0
38,-49.6,293.6,9,93,158,82,1
42,-53.3,228.3,15,93,68,13,1
83,-73.3,62.7,199,9,6,5,0
274,-79.6,99.8,21,4,8,0,0
570,-80.5,42.4,117,6,10,1,0
563,-53.8,26.8,0,4,5,1,0
244,-49.6,5.0,182,1,7,0,0
354,-40.9,118.1,117,6,5,1,0
24,-32.1,680.3,10,83,26,38,1
28,-51.9,407.1,7,133,88,87,1
763,-49.9,317.1,146,51,13,20,0
25,-57.1,204.9,14,84,80,155,1
44,-43.7,421.4,5,125,110,130,1
100,-42.6,135.9,0,133,42,18,1
33,-47.2,403.9,2,98,51,147,1
41,-43.0,385.6,9,103,95,289,1
51,-50.3,427.1,19,107,108,127,1
92,-44.0,259.2,24,65,124,15,1
292,-69.4,89.5,0,6,3,1,0
36,-33.5,242.8,2,94,10,36,1
588,-45.4,264.5,182,70,5,8,0
679,-75.4,66.1,74,3,6,2,0
551,-82.4,193.8,135,3,5,1,0
199,-62.5,33.8,158,7,3,2,0
487,-67.1,51.0,97,4,4,1,0
462,-55.6,131.7,123,3,7,2,0
489,-65.8,57.5,207,4,9,0,0
170,-69.0,42.8,124,7,10,0,0
36,-53.0,399.5,0,81,132,48,1
24,-47.3,210.9,6,154,129,106,1
49,-68.0,487.5,8,162,107,183,1
624,-58.8,223.0,92,72,14,24,0
26,-36.3,436.1,7,122,124,185,1
492,-71.4,49.5,171,8,8,4,0
624,-59.1,51.6,0,5,6,1,0
619,-78.0,116.9,160,5,7,1,0
459,-48.3,78.4,161,6,4,1,0
1022,-61.9,28.2,174,5,2,0,0
24,-46.1,192.1,4,135,80,144,1
24,-55.2,308.0,24,140,128,189,1
40,-67.7,64.8,163,6,7,1,0
687,-80.6,152.7,65,9,6,3,0
232,-58.5,104.8,31,3,4,1,0
261,-56.3,72.1,220,12,6,1,0
55,-56.1,221.9,7,118,10,17,1
24,-65.5,533.9,29,40,31,8,1
35,-53.8,486.8,14,149,74,73,1
24,-25.0,329.6,1,119,89,158,1
461,-60.7,35.2,78,1,8,1,0
52,-59.8,66.5,17,4,4,0,0
698,-54.9,296.4,81,51,8,13,0
658,-79.9,275.5,122,60,4,10,0
32,-53.2,200.1,10,46,143,14,1
40,-60.5,19.2,169,9,2,1,0
897,-48.8,127.6,126,6,7,4,0
498,-54.8,24.9,174,7,4,0,0
949,-50.0,21.2,74,10,7,2,0
706,-71.4,125.4,94,5,8,0,0
629,-44.1,109.6,94,3,2,1,0
33,-45.7,321.3,5,159,73,133,1
668,-28.0,32.4,126,7,9,2,0
1139,-51.8,200.0,103,49,3,30,0
32,-45.1,538.0,20,177,59,149,1
706,-55.9,75.7,42,5,4,0,0
698,-28.0,60.7,107,8,4,0,0
379,-43.3,44.9,81,8,2,2,0
40,-29.9,30.0,53,10,3,0,0
40,-63.6,61.8,117,7,2,3,0
284,-63.6,9.6,72,5,6,1,0
24,-57.1,650.9,3,29,10,128,1
535,-56.5,77.4,0,8,12,1,0
30,-37.4,349.7,10,132,69,203,1
91,-47.1,265.5,2,174,131,31,1
782,-62.0,171.2,138,6,8,3,0
40,-46.1,37.5,105,9,7,0,0
244,-63.3,133.5,103,9,6,4,0
447,-74.4,159.5,199,66,2,11,0
864,-76.9,166.7,98,17,8,18,0
40,-68.9,162.7,107,74,6,18,0
103,-49.9,249.9,11,155,129,14,1
680,-51.8,46.7,238,9,10,1,0
736,-67.0,45.9,74,6,8,2,0
36,-60.3,473.8,6,67,78,148,1
34,-51.6,713.7,5,138,36,24,1
1079,-51.5,27.9,202,5,6,2,0
530,-63.1,110.1,72,5,11,3,0
394,-73.1,27.3,141,8,8,2,0
543,-62.8,36.3,185,5,8,1,0
125,-48.3,67.8,0,81,75,32,1
599,-45.8,140.7,112,7,10,1,0
486,-60.9,21.3,218,2,4,1,0
58,-57.2,373.1,0,152,84,179,1
29,-34.7,479.6,19,51,126,160,1
321,-73.9,66.4,175,5,2,1,1
24,-48.4,517.5,9,72,112,146,1
75,-50.4,291.3,2,114,10,19,1
141,-49.5,58.1,0,4,7,1,0
771,-39.3,148.3,80,11,3,0,0
